<sha256 _hashlib.HASH object @ 0x13e038c50>,apple md506hn/a magsafe 2 power adapter for macbook pro  85 w adapter,6999.0,https://www.flipkart.com/apple-md506hn-a-magsafe-2-power-adapter-macbook-pro-85-w/p/itmekhym5zzftpas?pid=ACCEKHYMSEYGWHGD&lid=LSTACCEKHYMSEYGWHGDFULETW&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_1&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCEKHYMSEYGWHGD.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,apple md565hn/a magsafe 2 power adapter for macbook pro  60 w adapter,5599.0,https://www.flipkart.com/apple-md565hn-a-magsafe-2-power-adapter-macbook-pro-60-w/p/itmekhymzgyqgs9s?pid=ACCEKHYMG5GQGJZQ&lid=LSTACCEKHYMG5GQGJZQACTAEI&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_2&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCEKHYMG5GQGJZQ.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c70>,techclone laptop replacement 60w 16.5v 3.65a magnet pin t shape compatible apple magsafe 2 60 w adapter,1699.0,https://www.flipkart.com/techclone-laptop-replacement-60w-16-5v-3-65a-magnet-pin-t-shape-compatible-apple-magsafe-2-60-w-adapter/p/itm45ea2f8517e9f?pid=ACCGDE4DSZ5FDVTH&lid=LSTACCGDE4DSZ5FDVTHXNR0OI&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_3&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCGDE4DSZ5FDVTH.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c50>,wefly 61w usb type c adapter for pro mb air 16 15 13 12 inch 2022 2021 2020 2019 2018 61 w adapter,2999.0,https://www.flipkart.com/wefly-61w-usb-type-c-adapter-pro-mb-air-16-15-13-12-inch-2022-2021-2020-2019-2018-61-w/p/itm8ee154b0d2954?pid=ACCGMVKQQAYZGH72&lid=LSTACCGMVKQQAYZGH72QBXBFN&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_4&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCGMVKQQAYZGH72.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,tobo t- type/replacement cable 45w 60w 85w ac adapter dc power cable/repair cord for apple macbook air retina magsafe2 t type(white) 85 adapter,854.0,https://www.flipkart.com/tobo-t-type-replacement-cable-45w-60w-85w-ac-adapter-dc-power-cable-repair-cord-apple-macbook-air-retina-magsafe2-t-type-white-85/p/itmf8qy5fedmyxmb?pid=ACCF8PR9FYDUFK4A&lid=LSTACCF8PR9FYDUFK4ACBCJXQ&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_5&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCF8PR9FYDUFK4A.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c70>,"wefly 60w magsafe 2 power adapter for a1435, a1465, a1502, a1425,a1436,a1466. 60 w adapter",1998.0,https://www.flipkart.com/wefly-60w-magsafe-2-power-adapter-a1435-a1465-a1502-a1425-a1436-a1466-60-w/p/itmc9c45d82e8378?pid=ACCGMVJ6NGNTMGFH&lid=LSTACCGMVJ6NGNTMGFHYLTSF1&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_6&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCGMVJ6NGNTMGFH.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c50>,microware replacement / air dc connector plug cable magsafe 1 “l” shape head tip for ac charger repair 40 w adapter,647.0,https://www.flipkart.com/microware-replacement-air-dc-connector-plug-cable-magsafe-1-l-shape-head-tip-ac-charger-repair-40-w-adapter/p/itmf65tc8eab3zhy?pid=ACCF65NGVZPZ57A4&lid=LSTACCF65NGVZPZ57A4PXTUK3&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_7&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCF65NGVZPZ57A4.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,e-pro ep_charger_06 96 w adapter,3999.0,https://www.flipkart.com/e-pro-ep-charger-06-96-w-adapter/p/itm1cc14fa42a4d8?pid=ACCG9GFNWHFFDTMR&lid=LSTACCG9GFNWHFFDTMRP1X0GM&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_8&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCG9GFNWHFFDTMR.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c70>,"procence pro13""mb991 60w charger 60 w adapter",2024.0,https://www.flipkart.com/procence-pro13-mb991-60w-charger-60-w-adapter/p/itm2053fa0f11a2a?pid=ACCFSGTZJSKHVJGR&lid=LSTACCFSGTZJSKHVJGRXK2CYO&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_9&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCFSGTZJSKHVJGR.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c50>,"microware usb c adapter compatible with macbook magsafe charger, type-c to magsafe converter for thunderbolt cinema display charging m1 macbook pro air 85 w adapter",3149.0,https://www.flipkart.com/microware-usb-c-adapter-compatible-macbook-magsafe-charger-type-c-converter-thunderbolt-cinema-display-charging-m1-pro-air-85-w/p/itmbd017da86ff2b?pid=ACCG7NH7GRPJKNRZ&lid=LSTACCG7NH7GRPJKNRZ2X6NX9&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_10&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCG7NH7GRPJKNRZ.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,"procence 60w pro13""mb990 charger 60 w adapter",1966.0,https://www.flipkart.com/procence-60w-pro13-mb990-charger-60-w-adapter/p/itmb37d6d5242a0e?pid=ACCFSGTZYHKBSF97&lid=LSTACCFSGTZYHKBSF976IGUMC&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_11&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCFSGTZYHKBSF97.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c70>,lapster 60-mg1-01 60 w adapter,1999.0,https://www.flipkart.com/lapster-60-mg1-01-60-w-adapter/p/itmf33h86h4sejjy?pid=ACCF33EV4G3UERQE&lid=LSTACCF33EV4G3UERQEK9B85D&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_12&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCF33EV4G3UERQE.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c50>,"microware mag safe cord replacemen charger cable repair, 5 pin l shape connector, 85 w 60 w 45 w 85 w adapter",749.0,https://www.flipkart.com/microware-mag-safe-cord-replacemen-charger-cable-repair-5-pin-l-shape-connector-85-w-60-45-adapter/p/itmd27554bfd452b?pid=ACCG9S782H6SH2JP&lid=LSTACCG9S782H6SH2JPMR08UU&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_13&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCG9S782H6SH2JP.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
<sha256 _hashlib.HASH object @ 0x13e038c30>,"wefly 60w magnetic 1 ac adapter charger for pro 13"" a1181, a1184, a1185 60 w adapter",1999.0,https://www.flipkart.com/wefly-60w-magnetic-1-ac-adapter-charger-pro-13-a1181-a1184-a1185-60-w/p/itm8276c46ebf48d?pid=ACCGMVG7EAZWFPGY&lid=LSTACCGMVG7EAZWFPGYEBOD5G&marketplace=FLIPKART&q=macbook+pro+charger&store=6bo%2Fai3%2F8p1&srno=s_1_14&otracker=search&fm=organic&iid=17cae19a-b736-432b-bbb9-73c28f41c72e.ACCGMVG7EAZWFPGY.SEARCH&ppt=None&ppn=None&ssid=uws3gqz1yo0000001680756371095&qH=603fb8a8de370702
